iter	Passed	Remaining
870	1909	282
871	1911	280
872	1913	278
873	1915	276
874	1917	273
875	1919	271
876	1921	269
877	1923	267
878	1925	265
879	1927	262
880	1929	260
881	1931	258
882	1933	256
883	1935	253
884	1937	251
885	1938	249
886	1940	247
887	1942	245
888	1944	242
889	1947	240
890	1950	238
891	1952	236
892	1954	234
893	1956	231
894	1958	229
895	1959	227
896	1961	225
897	1963	223
898	1965	220
899	1966	218
900	1968	216
901	1970	214
902	1972	211
903	1974	209
904	1976	207
905	1978	205
906	1980	203
907	1982	200
908	1983	198
909	1985	196
910	1987	194
911	1989	191
912	1991	189
913	1993	187
914	1995	185
915	1997	183
916	1999	180
917	2001	178
918	2004	176
919	2005	174
920	2007	172
921	2009	169
922	2010	167
923	2013	165
924	2015	163
925	2016	161
926	2018	158
927	2020	156
928	2021	154
929	2023	152
930	2025	150
931	2026	147
932	2028	145
933	2030	143
934	2032	141
935	2033	139
936	2035	136
937	2038	134
938	2040	132
939	2042	130
940	2043	128
941	2045	125
942	2047	123
943	2049	121
944	2051	119
945	2053	117
946	2055	115
947	2057	112
948	2059	110
949	2060	108
950	2062	106
951	2064	104
952	2066	101
953	2068	99
954	2070	97
955	2072	95
956	2074	93
957	2076	91
958	2080	88
959	2084	86
960	2087	84
961	2091	82
962	2093	80
963	2095	78
964	2097	76
965	2099	73
966	2101	71
967	2103	69
968	2105	67
969	2107	65
970	2109	62
971	2111	60
972	2113	58
973	2114	56
974	2118	54
975	2121	52
976	2122	49
977	2124	47
978	2125	45
979	2127	43
980	2128	41
981	2130	39
982	2133	36
983	2134	34
984	2136	32
985	2138	30
986	2141	28
987	2143	26
988	2145	23
989	2146	21
990	2148	19
991	2150	17
992	2153	15
993	2154	13
994	2156	10
995	2158	8
996	2160	6
997	2162	4
998	2164	2
999	2166	0
